Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
H-92-Hauts-de-Seine;469386;480531;476502;457465;449146;446309;448585;451094;448207;468670;486461;499163;514999;506128;493821;498056;507382;515704;536410;529412;525158;521673;528448;527094;529552;531375;537404;542626;554178;561371
H-93-Seine-Saint-Denis;275942;282456;275788;267251;259931;259393;257522;254701;256660;265528;267887;276420;284946;285457;281409;286850;290683;299669;303990;298708;299823;303017;303970;304920;310044;321034;321656;325536;333074;341206
H-94-Val-de-Marne;263945;269268;264918;258252;255034;255449;254588;253465;248690;253360;259364;264332;272967;269284;266758;268419;269787;274933;276596;278107;274682;274066;276600;279224;279986;278214;280613;281186;283911;286026
H-95-Val-d'Oise;165333;175565;176167;174774;171878;173836;175196;176389;181910;186911;195108;200605;207793;206627;206209;208995;211016;212218;213038;210892;206107;209571;209959;204705;205692;197437;197542;198692;202441;207691
H-Normandie;586565;589740;589469;584377;574022;582181;580768;575323;580434;592314;607827;624997;626982;624811;618997;613799;612945;614148;623037;608056;592070;589656;589339;583969;578991;575540;571352;572579;574339;576299
H-14-Calvados;117592;119376;119476;117463;113523;115722;115823;115481;116251;119882;124034;127943;128916;129144;128403;128635;128797;128903;131008;127730;125777;124144;124416;123197;122903;121397;120863;122050;122942;123561
H-27-Eure;86903;86876;86347;86133;85330;87653;87147;87229;89222;91761;93882;96532;97090;96640;95969;94577;94178;93975;94091;91810;88764;88100;87645;86854;86538;86367;85943;85591;86021;86139
H-50-Manche;83446;82455;82481;82490;83418;82731;82368;81459;81564;83346;88026;89200;89070;88304;86697;86518;86214;86163;86630;84487;83042;84405;84202;84559;83625;83647;83749;84167;84891;85829
H-61-Orne;52062;52052;52431;51657;49433;50542;51127;50776;51575;52604;53528;55102;53803;53553;52728;51565;51012;50925;51583;49712;48647;48243;47649;46711;46468;45506;45212;45432;45217;44733
H-76-Seine-Maritime;246562;248981;248734;246634;242318;245533;244303;240378;241822;244721;248357;256220;258103;257170;255200;252504;252744;254182;259725;254317;245840;244764;245427;242648;239457;238623;235585;235339;235268;236037
H-Nouvelle-Aquitaine;883780;889017;887533;878645;867227;882138;896950;901248;921402;945997;971064;993254;1007192;1005259;996989;998134;1002447;1011777;1023046;1002734;988256;996158;997473;998373;1001892;996536;999847;1012197;1028915;1037791
H-16-Charente;59535;60013;59656;59750;59190;59288;60112;60296;61514;62531;63998;64598;64541;64055;64342;64314;63501;64038;63739;62604;61395;62110;61082;60975;61577;60827;60771;61226;62022;62074
H-17-Charente-Maritime;81644;81285;81667;81287;79304;80095;81536;82756;85224;87689;91364;94711;97181;97000;95961;96964;97858;99031;98358;96779;94373;95166;94633;94668;94047;92826;92819;94731;96179;97091
H-19-Correze;39531;39834;39531;39162;39073;39605;39936;39363;39954;41106;40663;41453;42006;41814;41556;41826;42278;42484;43632;41457;40997;41449;41455;40800;40848;40317;40498;41231;41203;40873
H-23-Creuse;17501;17381;17248;16915;16660;16846;17201;17252;17593;17575;18119;18256;18322;18252;17934;17520;17496;17271;17395;16744;16250;16212;15908;15627;15697;15457;15458;15663;15576;15410
H-24-Dordogne;57525;57677;57114;56783;57254;58548;59239;59639;60929;62100;62606;63491;63468;62906;62193;61934;61780;62049;62620;61346;60036;59861;59123;58543;58443;58008;57952;57841;58013;57414
H-33-Gironde;236869;239302;238595;234111;230934;234575;238935;239879;246213;253317;264336;271836;275368;276978;274407;274144;277085;281313;287390;283613;283680;287071;290365;293574;296546;297577;301120;307344;316705;323884
H-40-Landes;56756;56728;56314;55946;55425;56226;56307;56523;57663;59181;61113;61749;62050;62346;61496;61434;61627;61874;62797;62100;61667;61678;61947;62030;62017;61902;61664;62119;62727;63271
H-47-Lot-et-Garonne;46585;46909;46024;45125;45028;46484;47716;47955;48945;49917;50478;51477;52251;52804;52415;52873;52971;53191;53352;51663;50430;50756;50783;50837;50909;50696;50568;51284;51967;52648
H-64-Pyrenees-Atlantiques;101451;102811;102878;101390;100545;101758;102300;102403;104341;107330;108048;109717;113558;113326;112857;112826;114500;116089;117109;115314;113266;114462;114713;114881;115391;115051;115601;116907;118279;118485
H-79-Deux-Sevres;55998;56266;57216;57972;56322;58043;61142;61624;64002;66368;68003;68717;69831;69184;68405;69526;68261;68805;69730;68333;66858;67535;67731;67561;67434;66427;66836;67100;68138;68885
H-86-Vienne;65098;65969;66886;66944;65275;68237;69708;71293;72246;74667;75637;79135;79884;79141;79541;78977;79427;79787;80432;77750;75875;76107;76545;76809;77339;76690;75952;75681;77021;76661
H-87-Haute-Vienne;65287;64842;64404;63260;62217;62433;62818;62265;62778;64216;66699;68114;68732;67453;65882;65796;65663;65845;66492;65031;63429;63751;63188;62068;61644;60758;60608;61070;61085;61095
H-Occitanie;765029;773353;771983;761743;756248;770351;780097;782244;798278;821290;841593;868347;894599;905529;914918;921820;931654;942467;948251;934662;928975;932586;938122;939639;941342;944039;952974;970522;988026;999690
H-09-Ariege;21646;21409;21372;21173;20796;21000;21332;21591;21878;22364;22454;22887;23153;23372;23645;23708;23798;23571;23527;22925;22134;21993;21819;21935;21811;21851;21917;21924;22112;22132
H-11-Aude;45532;45478;45755;45626;45839;46812;46841;46807;47595;47521;49645;51447;53011;53683;54285;54674;55414;56066;54231;53000;52877;51665;51315;51265;51455;51166;51719;52343;53109;53269
H-12-Aveyron;38942;39282;39396;39223;38631;39099;39653;39746;40954;41900;41536;42497;43135;43694;43782;43786;43804;43957;44259;43922;43210;43385;43547;42861;42658;42882;43122;43889;44072;43972
H-30-Gard;97170;97952;96636;94710;94067;95442;95862;95501;96637;97809;102441;106763;107413;109008;109532;109790;109998;110836;108342;106165;104743;105641;104620;103880;103499;102942;103227;104844;105206;105441
H-31-Haute-Garonne;199266;204337;205227;202104;199042;202763;206802;209478;215422;224503;229136;236696;249697;253136;256657;260610;266143;271566;279015;279313;279307;282301;287793;292172;295513;297257;300742;309189;317359;325132
H-32-Gers;21437;21339;20936;20404;20532;20878;21560;21656;22253;23177;23597;24078;24659;25006;25595;25726;26153;26363;26088;25517;25152;25247;25331;25218;25637;25314;25391;25553;25936;25950
H-34-Herault;132744;134667;134989;133095;132835;135758;137134;136456;139550;145925;149759;156194;161183;164825;168222;168723;170566;173595;175995;172390;172942;173181;174528;173319;172890;175216;178658;181713;186307;189695
H-46-Lot;20545;20890;21148;21212;21131;21730;22079;22258;22792;23668;24173;24746;25103;24863;24957;25160;25255;25311;25433;24877;24586;24824;24950;24818;24826;25145;25276;25965;26096;25714
H-48-Lozere;10231;10360;10309;10391;10664;11164;11344;11478;11784;11978;12403;12712;12704;12863;12817;12875;12882;12947;12425;12148;12128;12090;12020;11993;12016;11980;11859;11998;12234;12307
H-65-Hautes-Pyrenees;38321;38134;37662;36886;36262;36659;36884;36691;37007;37471;37689;37837;38700;38831;38846;38923;39380;38749;39760;38615;37725;37780;37169;36986;36763;36379;36077;36149;35962;35871
H-66-Pyrenees-Orientales;53842;54162;54342;53760;54079;55176;55408;55281;56214;57309;60595;62741;64522;65238;65768;66535;67093;68229;67014;65645;65165;64918;64983;64736;64861;64812;65047;65337;66014;66420
H-81-Tarn;55753;55229;54492;53746;52676;53784;54096;53975;54418;55507;55291;56629;57680;57488;56810;57032;56607;56520;56175;54929;53987;54039;54206;54224;53690;53264;53310;53857;54912;55057
H-82-Tarn-et-Garonne;29600;30114;29719;29413;29694;30086;31102;31326;31774;32158;32874;33120;33639;33522;34002;34278;34561;34757;35987;35216;35019;35522;35841;36232;35723;35831;36629;37761;38707;38730
H-PaysdelaLoire;548740;557184;560018;555697;551201;569368;577579;577561;603197;626423;639162;662051;677632;680018;679042;679733;683979;691495;696818;687248;674997;682687;687385;686500;687085;684427;691125;703993;722480;729773
H-44-Loire-Atlantique;199058;202635;203787;200855;199245;205851;207716;209418;215836;224579;232374;244017;251442;251231;251149;254835;257886;261637;266421;265957;261370;264545;269361;271248;272428;273551;277908;285217;295819;302205
H-49-Maine-et-Loire;121437;122966;123635;124051;122833;126991;129530;124258;134133;139254;141020;143615;147115;148058;147484;146279;145674;147583;146289;145176;143003;144820;144859;143365;143033;141976;142028;144128;145809;146883
H-53-Mayenne;47884;48779;49343;48115;48120;50081;51301;52194;54694;56815;55753;57416;57959;57634;57330;56226;56546;57220;57775;56318;55534;55791;55395;55188;55490;55269;55459;55818;57497;56998
H-72-Sarthe;95486;95802;95861;96099;94077;96380;97324;98746;100906;104289;105934;108330;109406;110558;109619;108315;107930;107395;107622;103843;101560;102392;102333;101281;100144;98522;99408;99512;100595;99979
H-85-Vendee;84875;87002;87392;86577;86926;90065;91708;92945;97628;101486;104081;108673;111710;112537;113460;114078;115943;117660;118711;115954;113530;115139;115437;115418;115990;115109;116322;119318;122760;123708
H-Provence-Alpes-Cote-d'Azur;781433;784029;776356;760613;752925;760249;765923;761300;769720;784445;809769;846674;866142;875847;881382;891498;897353;902602;908658;895216;889147;886344;886116;884224;887154;885927;889237;901418;912505;921654
H-04-Alpes-de-Haute-Provence;21551;21421;20833;20429;20575;21203;21614;21598;21695;21987;22117;23124;22921;23468;23482;23734;23598;23469;23099;22687;22948;22925;22476;22561;22790;22574;22717;24135;23731;23657
H-05-Hautes-Alpes;20331;20090;19430;20014;20655;20459;21403;21448;21437;21037;22342;23212;23523;24078;24283;24540;24849;25126;25145;24823;24244;24523;24221;24227;24189;24078;23793;23853;24007;23780
H-06-Alpes-Maritimes;171655;170665;169437;167067;162312;162935;162123;161522;164124;167530;173084;181990;188094;188811;190785;192459;193908;197321;198709;195129;191646;190843;190520;188728;188707;187439;189418;191406;191761;193512
H-13-Bouches-du-Rhone;350802;353441;351375;340214;336766;338622;340345;337048;340711;346146;357447;372904;379416;383589;386752;390735;393825;395835;399196;394854;395138;393196;393801;394314;397438;400064;401358;408347;415673;421625
H-83-Var;132233;134717;132368;130922;130394;133354;134643;134264;135457;138914;143694;149962;154467;156926;157622;161100;161945;162060;162498;159969;159135;159327;158897;158816;158922;157795;157576;158363;160167;161281
H-84-Vaucluse;84861;83695;82913;81967;82223;83676;85795;85420;86296;88831;91085;95482;97721;98975;98458;98930;99228;98791;100011;97754;96036;95530;96201;95578;95108;93977;94375;95314;97166;97799
