Annee;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017(p);2018(p)
09-Ariege;37904;37735;38196;38200;38094;38651;39629;40192;40712;41465;42635;43453;44278;44912;45112;45389;46358;45916;46124;45785;44697;44283;43831;44029;44221;44344;44396;44496;44687;44581
11-Aude;77383;77808;79483;80053;81002;83225;84057;84653;86113;86941;89703;92947;95957;98237;99748;101260;102927;104812;105489;104783;104179;103713;103614;103208;103602;103585;104654;106081;107449;107580
12-Aveyron;70233;71650;72407;72705;72944;74198;75320;75333;77543;78817;80605;82503;83501;85071;85773;86363;86988;87758;88443;88635;88138;88160;88120;87316;87142;87443;87899;89001;89210;88830
30-Gard;165270;167954;168941;167153;168255;171091;172753;172959;175198;178482;183352;190856;193764;198840;200816;202757;204970;208597;209687;208131;207831;209572;208113;206664;207435;207355;208701;210681;211128;211389
31-Haute-Garonne;359370;370857;374640;372651;372446;380707;389704;394817;404292;419588;435260;448708;468709;476982;484824;492841;503484;517372;529127;533392;537087;542484;550293;556358;565195;569478;576122;590540;603948;616402
32-Gers;41131;41598;41665;41240;42224;43015;44270;44619;45572;47204;48389;49566;50625;51937;53090;53307;54163;54904;54885;54273;53849;53892;54125;54259;55137;54666;54799;55338;55838;55902
34-Herault;237890;243727;248698;248777;250886;257455;263149;263193;268336;280798;287330;299117;310181;320004;327070;329574;335246;344889;353914;351760;355283;354840;356169;355426;356758;361261;367230;372602;380529;385790
46-Lot;39592;40738;41395;42002;42433;43527;44449;44898;46316;47874;48981;49966;50766;51600;52012;52045;52604;52826;52965;52066;51902;51436;51478;51407;51707;52340;52526;53449;53665;52918
48-Lozere;18161;18494;18967;19110;19763;20580;20844;21211;21713;21956;22968;23516;23745;24168;24360;24693;25109;25350;25294;24987;25245;24988;24932;24971;24979;25039;24870;25141;25637;25749
65-Hautes-Pyrenees;68023;68568;68705;67940;67980;69040;70155;70277;71155;71759;73568;74689;75681;77322;77349;77708;78906;78682;79210;78006;76959;76841;75710;75154;74806;74316;73657;73978;73595;73418
66-Pyrenees-Orientales;96128;97635;99165;99082;100338;102900;104362;104741;106835;109858;113878;117943;121704;124091;125254;127445;129373;132499;133184;131725;131578;131971;132023;131721;132685;132966;133696;135061;136240;136904
81-Tarn;102979;103055;102716;102809;102144;104272;104641;104861;105936;107626;109066;111591;113509;114258;113819;114594;114851;115900;114219;113265;113070;112464;112608;113005;112704;111991;112295;113136;114769;114844
